RAW WEIGHT AND BIAS SUMMARY for ../models/yolo26n.pt
Parameter Name                                     | Shape                | Mean       | Std       
model.13.m.0.m.0.cv1.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.13.m.0.m.0.cv2.conv.weight                   | [32, 32, 3, 3]       | -0.002279  | 0.045212  
model.13.m.0.m.0.cv2.bn.weight                     | [32]                 | 0.815735   | 0.194228  
model.13.m.0.m.0.cv2.bn.bias                       | [32]                 | 0.234222   | 0.747065  
model.13.m.0.m.0.cv2.bn.running_mean               | [32]                 | 0.056199   | 0.086711  
model.13.m.0.m.0.cv2.bn.running_var                | [32]                 | 0.106009   | 0.035324  
model.13.m.0.m.0.cv2.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.13.m.0.m.1.cv1.conv.weight                   | [32, 32, 3, 3]       | -0.004442  | 0.045346  
model.13.m.0.m.1.cv1.bn.weight                     | [32]                 | 0.689941   | 0.158709  
model.13.m.0.m.1.cv1.bn.bias                       | [32]                 | -0.442395  | 0.597815  
model.13.m.0.m.1.cv1.bn.running_mean               | [32]                 | -0.356403  | 0.371381  
model.13.m.0.m.1.cv1.bn.running_var                | [32]                 | 0.290924   | 0.109512  
model.13.m.0.m.1.cv1.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.13.m.0.m.1.cv2.conv.weight                   | [32, 32, 3, 3]       | 0.000635   | 0.044228  
model.13.m.0.m.1.cv2.bn.weight                     | [32]                 | 1.024002   | 0.158615  
model.13.m.0.m.1.cv2.bn.bias                       | [32]                 | 1.856491   | 0.959649  
model.13.m.0.m.1.cv2.bn.running_mean               | [32]                 | -0.014572  | 0.129722  
model.13.m.0.m.1.cv2.bn.running_var                | [32]                 | 0.057200   | 0.011675  
model.13.m.0.m.1.cv2.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.16.cv1.conv.weight                           | [64, 256, 1, 1]      | -0.002749  | 0.049859  
model.16.cv1.bn.weight                             | [64]                 | 0.542103   | 0.120776  
model.16.cv1.bn.bias                               | [64]                 | 0.607947   | 0.873442  
model.16.cv1.bn.running_mean                       | [64]                 | 0.040307   | 0.203380  
model.16.cv1.bn.running_var                        | [64]                 | 0.076982   | 0.034017  
model.16.cv1.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.16.cv2.conv.weight                           | [64, 96, 1, 1]       | -0.001935  | 0.073969  
model.16.cv2.bn.weight                             | [64]                 | 0.708158   | 0.585351  
model.16.cv2.bn.bias                               | [64]                 | -0.042500  | 0.938642  
model.16.cv2.bn.running_mean                       | [64]                 | -0.171825  | 0.637117  
model.16.cv2.bn.running_var                        | [64]                 | 0.205462   | 0.127271  
model.16.cv2.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.16.m.0.cv1.conv.weight                       | [16, 32, 1, 1]       | -0.007432  | 0.125236  
model.16.m.0.cv1.bn.weight                         | [16]                 | 0.207268   | 0.061293  
model.16.m.0.cv1.bn.bias                           | [16]                 | 0.044518   | 0.379446  
model.16.m.0.cv1.bn.running_mean                   | [16]                 | -0.174871  | 0.448266  
model.16.m.0.cv1.bn.running_var                    | [16]                 | 0.046467   | 0.012651  
model.16.m.0.cv1.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.16.m.0.cv2.conv.weight                       | [16, 32, 1, 1]       | -0.006586  | 0.094833  
model.16.m.0.cv2.bn.weight                         | [16]                 | 0.895966   | 0.228774  
model.16.m.0.cv2.bn.bias                           | [16]                 | 0.053038   | 1.415941  
model.16.m.0.cv2.bn.running_mean                   | [16]                 | -0.066634  | 0.333764  
model.16.m.0.cv2.bn.running_var                    | [16]                 | 0.027328   | 0.006176  
model.16.m.0.cv2.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.16.m.0.cv3.conv.weight                       | [32, 32, 1, 1]       | -0.008920  | 0.107093  
model.16.m.0.cv3.bn.weight                         | [32]                 | 1.156128   | 0.354186  
model.16.m.0.cv3.bn.bias                           | [32]                 | 0.334673   | 1.005000  
model.16.m.0.cv3.bn.running_mean                   | [32]                 | -0.230298  | 1.467791  
model.16.m.0.cv3.bn.running_var                    | [32]                 | 0.549583   | 0.250414  
model.16.m.0.cv3.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.16.m.0.m.0.cv1.conv.weight                   | [16, 16, 3, 3]       | -0.001082  | 0.067076  
model.16.m.0.m.0.cv1.bn.weight                     | [16]                 | 0.891052   | 0.094223  
model.16.m.0.m.0.cv1.bn.bias                       | [16]                 | -0.137985  | 0.450254  
model.16.m.0.m.0.cv1.bn.running_mean               | [16]                 | 0.001576   | 0.146420  
model.16.m.0.m.0.cv1.bn.running_var                | [16]                 | 0.009127   | 0.005138  
model.16.m.0.m.0.cv1.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.16.m.0.m.0.cv2.conv.weight                   | [16, 16, 3, 3]       | -0.003489  | 0.067062  
model.16.m.0.m.0.cv2.bn.weight                     | [16]                 | 0.791504   | 0.144634  
model.16.m.0.m.0.cv2.bn.bias                       | [16]                 | -0.092903  | 0.569823  
model.16.m.0.m.0.cv2.bn.running_mean               | [16]                 | -0.002142  | 0.174683  
model.16.m.0.m.0.cv2.bn.running_var                | [16]                 | 0.171017   | 0.063548  
